time_s,id,kind,role,alive,x_m,y_m,z_m,yaw_rad
6.0,F3,drone,friendly,True,345.6616727946735,420.67554674584756,70.0,-1.4111687077583324
6.0,F4,drone,friendly,True,374.39208619289394,384.5858681562838,70.0,-1.713940390291718
6.0,F5,drone,friendly,True,399.2999602377537,372.13524392255994,70.0,-1.7883985870729655
6.0,F6,drone,friendly,True,648.699407954984,290.5063452625528,70.0,-1.288670413181005
6.0,H1,drone,hostile_ground,True,294.90125940360826,201.6935668392224,80.0,0.6260601673774471
6.0,H2,drone,hostile_ground,True,700.7965332920584,203.79021390160594,80.0,2.5122234972075055
6.0,H3,drone,hostile_air,True,726.3852147139492,441.62680116618077,95.0,-2.757008090439604
6.0,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
6.5,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
6.5,F1,drone,friendly,True,314.5332350250352,437.846534853913,70.0,-1.2546256326893608
6.5,F2,drone,friendly,True,343.08188906917354,435.334424776152,70.0,-1.2691508684695032
6.5,F3,drone,friendly,True,349.0962985733946,399.95832333728856,70.0,-1.4065046280269837
6.5,F4,drone,friendly,True,371.3927173072088,364.322923950162,70.0,-1.7177515963601897
6.5,F5,drone,friendly,True,394.8104570991886,351.6207524209698,70.0,-1.786245116492495
6.5,F6,drone,friendly,True,654.4810715131605,270.3179236674886,70.0,-1.2918765716869443
6.5,H1,drone,hostile_ground,True,307.594327208959,210.87189523599022,80.0,0.626060179384027
6.5,H2,drone,hostile_ground,True,688.4391579176344,212.78822392004864,80.0,2.512223502904986
6.5,H3,drone,hostile_air,True,710.4593959460304,435.1810099420677,95.0,-2.757008090843028
6.5,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
7.0,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
7.0,F1,drone,friendly,True,321.3601863099411,418.61070351855915,70.0,-1.2297557934689713
7.0,F2,drone,friendly,True,349.50224535166774,415.3399499091834,70.0,-1.2600899658254092
7.0,F3,drone,friendly,True,352.8458100652241,379.29576871370347,70.0,-1.3912856176656212
7.0,F4,drone,friendly,True,368.6752556756392,344.19276005280585,70.0,-1.7049796639848087
7.0,F5,drone,friendly,True,390.3897509186561,331.09132581267403,70.0,-1.7828927614167251
7.0,F6,drone,friendly,True,660.0229588040265,250.0623692377689,70.0,-1.3037336382610933
7.0,H1,drone,hostile_ground,True,320.41587095590563,220.14312435871918,80.0,0.6260601827359572
7.0,H2,drone,hostile_ground,True,675.9089732624232,221.9120648056795,80.0,2.5122235045099273
7.0,H3,drone,hostile_air,True,694.3379299235364,428.6560327532775,95.0,-2.7570080909573256
7.0,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
7.5,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
7.5,F1,drone,friendly,True,328.72974374054974,399.6869796958609,70.0,-1.199430891187547
7.5,F2,drone,friendly,True,356.2322635985309,395.4475680910881,70.0,-1.2445632600879057
7.5,F3,drone,friendly,True,357.04356621565574,358.71959697789424,70.0,-1.3695474580946363
7.5,F4,drone,friendly,True,366.49869563752657,324.2431721253986,70.0,-1.6794694985850565
7.5,F5,drone,friendly,True,385.99082707007966,310.55722079262443,70.0,-1.7818318526712154
7.5,F6,drone,friendly,True,664.8975139216985,229.63594731897027,70.0,-1.3365379603560679
7.5,H1,drone,hostile_ground,True,333.2971903197111,229.45757711311512,80.0,0.6260601837079469
7.5,H2,drone,hostile_ground,False,663.5666559857021,230.89911024617862,80.0,2.512223505010872
7.5,H3,drone,hostile_air,True,678.2890291201494,422.1604254995185,95.0,-2.7570080909915835
7.5,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
8.0,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
